Designation,Company,Salary from InsiderInc
Project Manager,Cybage Software,12.3
Senior SQA Engineer,Cybage Software,5.6
Senior Software Engineer,Cybage Software,5.8
Senior Systems Analyst,Cybage Software,11
Software Engineer,Cybage Software,4.7
Systems Analyst,Cybage Software,8.4
Technical Support Engineer,Cybage Software,4.6
Software Engineer,Cypress Semiconductor,7.9
Software Developer,Cygnus IT Solutions,5.4
Manager,CyberMedia Research,10.5
Software Engineer,Cybertech International Holdings,4.7
Android Developer,Cybrtech systems and software,4.7
Account Executive,Daimler Chrysler,2.8
Graduate Engineer,Daimler Chrysler,3.4
Assistant Manager,Damco,16.5
Senior Software Engineer,Danlaw Technologies India,5.2
Architect,Dar Al-Handasah,7
Engineer,Dar Al-Handasah,5.4
Associate Consultant,Datamatics Technologies,7.9
Customer Support Executive,Datamatics Technologies,2.2
Senior Consultant,Datamatics Technologies,8.6
Senior Analyst,Datamonitor,9.9
IT Manager,Data Infosys,5
Software Engineer,Decho,8.2
Engineering Manager,Dell,27.3
PG Test Engineer Analyst,Dell,6.4
Project Manager,Dell,17.1
Senior Analyst,Dell,8.8
Senior Systems Analyst,Dell,4.9
Software Developer,Dell,5.2
Software Development Advisor,Dell,15.6
Software Engineer Advisor,Dell,15.4
Software Test Engineer III,Dell,12
Technical Support Associate,Dell,5.1
Associate,Dell Financial Services,6.4
Senior Analyst,Dell Financial Services,3.6
Senior Associate,Dell Financial Services,6
Assistant Manager,Deloitte DHS,8.1
Business Consultant,Deloitte DHS,6.8
Business Technology Analyst,Deloitte DHS,5.4
Consultant,Deloitte DHS,10.9
Consulting Analyst,Deloitte DHS,8.3
Deputy Manager,Deloitte DHS,13
ERS Consultant,Deloitte DHS,5.1
Senior Consultant,Deloitte DHS,12.3
Senior Consultant (Consulting),Deloitte DHS,11.8
Senior Product Engineer,Deloitte DHS,9.7
Technical Consultant,Deloitte DHS,5
Technology Consultant,Deloitte DHS,13.3
Analyst,Deloitte USI,5.8
Associate Analyst,Deloitte USI,4.2
Audit Staff,Deloitte USI,7.4
Business Analyst,Deloitte USI,5.8
Business Technology Analyst,Deloitte USI,5.6
Consultant,Deloitte USI,10.3
Consulting Manager,Deloitte USI,26.2
ERS Consultant,Deloitte USI,8.8
Functional Consultant,Deloitte USI,10
Manager,Deloitte USI,22.2
SAP Consultant,Deloitte USI,8.1
Senior Analyst,Deloitte USI,11.8
Senior Consultant,Deloitte USI,10.8
Senior Consultant (Consulting),Deloitte USI,14.3
Senior Consultant (ERS),Deloitte USI,19.1
Senior SAP Consultant,Deloitte USI,7.4
Solution advisor,Deloitte USI,6.5
Tax Consultant I,Deloitte USI,4.6
Tax Senior,Deloitte USI,6.5
Technology Consultant,Deloitte USI,11.1
Technology Consulting Analyst,Deloitte USI,6
Advanced Software Engineer,Delphi,10.1
Advanced Systems Engineer,Delphi,9.9
Senior Software Engineer,Delphi,7.5
Software Engineer,Delphi,4.8
Tech Lead,Delphi,11.2
Member Technology,DESIS,12
Senior Software Developer,DESIS,16
Analyst,Deutsche Bank,6.3
Assistant Vice President,Deutsche Bank,14.9
Associate,Deutsche Bank,13.7
Financial Analyst,Deutsche Bank,13.5
IT Recruiter,Deutsche Bank,7.4
Operations Analyst,Deutsche Bank,3.6
Process Supervisor,Deutsche Bank,5.7
Senior Analyst,Deutsche Bank,6.2
Engineer,Denso,4.5
CEO,Deltaplus India,31.9
Trained Graduate Teacher,Delhi Govt School,3.5
Customer service,Dell International Services,1.8
Messaging Services Advisor,Dell International Services,11.6
Senior Associate,Dell International Services,22
Software Development Advisor,Dell International Services,15.8
Software Development Engineer,Dell International Services,9.2
Manager,Defiance Technologies,11.9
Project Manager - IT,Decimal Systems,10.1
Assistant General Manager - Sales,Dhathri Ayurveda,10.2
Tech Lead,Digimaker,15.8
Business Development Specialist,Directi,3.2
Developer,Directi,10.6
Software Developer,Directi,11.4
Strategic Partner Manager,Directi,12.4
Market Research Analyst,Dimat,4
Software Engineer,Dion,2.6
Php Web Developer,Dignitas Digital,3.2
Team Lead,Digivalet,5.2
Software Engineer,Dlink,2.2
Business Analyst,Dotsquares,2.6
Assistant Manager,Dr Reddys,4.3
Junior Manager,Dr Reddys,4.5
Office Coordinator,Dr Reddys,1.9
Trainee,Dr Reddys,4.8
Sales Engineer,Dr Mueller AG,3.3
Junior Software Engineer,DSK Software,1.3
Plant Maintenance Engineer,DSCL Sugar,4.7
Analyst,dunnhumby,8.9
Associate Analyst,dunnhumby,6
Manager,dunnhumby,16.8
Senior Analyst,dunnhumby,11
Software Engineer,Ebix,2.5
Software Engineer,Ebay,15.7
Analyst,eClerx,5.1
Process Manager,eClerx,10
Senior Technical Analyst,eClerx,9.5
Copy editor,Economic times online,3
Associate,Edelweiss Capital,4.6
Regional Manager,Edukart.com,9.5
Software Engineer,Edukart.com,6.4
S.G.teacher,Education,3.6
Principal Engineer,EFI,19.6
QA Engineer,EFI,9.8
Senior Software Engineer,EFI,9.8
Software Engineer,EFI,5.5
Software Engineer,eFunds,5
Human Resources Executive,EGS Computers,2.3
ASIC Engineer,EInfochips,2.5
ASIC Verification Engineer,EInfochips,2
Design and application engineer,Ekato,6.1
Mechanical Design Engineer,Ekato,6.1
Lead Engineer,Electronic Arts,15.8
Software Engineer,Electronic Arts,5.8
Software Engineer,Electronic Data Systems,5.6
Senior Sales Engineer,Electronic Enterprises,4.5
Software Engineer,Embedded Infotech,7.7
Associate IT Generalist,EMC,3.9
Associate Principal Software Engineer,EMC,18.1
Associate SQA Engineer,EMC,6.6
Associate Software Engineer,EMC,5
Information Security Analyst,EMC,7
Principal Software Engineer,EMC,19.3
Senior Software Engineer,EMC,12.9
Senior Software Quality Assurance Engineer,EMC,11.5
Senior Technical Support Engineer,EMC,13.1
Software Engineer,EMC,7.3
Software Quality Engineer,EMC,8
Technical Support Engineer,EMC,7.4
Research Analyst,Emkay Global Financial Services,6.9
Senior Software Engineer,Encora,6.8
Technical Lead,Encora,14
Management Trainee,Engineers India Limited (EIL),10.4
Software Engineer,Equal Experts,3.6
Configuration Engineer,Ericsson-Worldwide,6.5
Database Administrator,Ericsson-Worldwide,6.7
Engineer,Ericsson-Worldwide,3.9
Senior Engineer,Ericsson-Worldwide,8.3
Senior Quality Assurance Engineer,Ericsson-Worldwide,14.2
Senior Software Engineer,Ericsson-Worldwide,8.1
Solution Integrator (Experienced),Ericsson-Worldwide,7.4
Advanced Associate,Ernst & Young,2.9
Advisory Consultant,Ernst & Young,7.7
Advisory Manager,Ernst & Young,18.1
Analyst,Ernst & Young,4.6
Application Security Analyst,Ernst & Young,10
Associate,Ernst & Young,3.6
Associate Analyst,Ernst & Young,4.7
Associate Consultant,Ernst & Young,6.3
Associate Director - Business Development,Ernst & Young,41.1
Audit Executive,Ernst & Young,6.7
Audit Senior,Ernst & Young,12.1
Audit Staff,Ernst & Young,6.4
Consultant,Ernst & Young,9.9
Consultant II,Ernst & Young,8.6
Engagement Manager,Ernst & Young,21.4
Manager,Ernst & Young,16.9
Senior Consultant,Ernst & Young,14.9
Senior Consultant (Advisory),Ernst & Young,15.2
Senior Consultant (FI&DS),Ernst & Young,13.3
Tax Consultant,Ernst & Young,7.7
Network Support Engineer,Ericsson India Global Services,5.3
Program Manager,Ericsson India Global Services,20
Senior Engineer,Ericsson India Global Services,8.7
Senior Software Developer,Ericsson India Global Services,9.5
Senior Software Engineer,Ericsson India Global Services,11
Software Engineer,Ericsson India Global Services,6.3
Senior Software Engineer,ESI Group,21.3
Developer,Esolz,0.7
Assistant Vice President,Evalueserve,27.1
Business Analyst,Evalueserve,4.6
Manager,Evalueserve,10.4
Market Research Analyst,Evalueserve,3.3
Research Associate,Evalueserve,4.1
Research Lead,Evalueserve,8.4
Senior Business Analyst,Evalueserve,6.6
Software Engineer,Evolving Systems,5.5
Graduate Engineer Trainee,Everest Industries,2
Software Engineer,Exilant Technologies,4.5
Analyst,Exl Service,4.3
Assistant Manager,Exl Service,10.4
Lead Assistant Manager,Exl Service,7.1
Process trainer,Exl Service,2.3
Senior Programmer Analyst,Exl Service,7.9
Team Lead,Exxova,10.8
Software Engineer,EXFO India,15.8
Software Engineer,Exeter,6.6
Senior Production Engineer,Exide Industries,5
Software Development Engineer In Test,Expedia,20.9
Software Engineer,FactSet,7.7
Manager,Facebook,16.2
Senior Manager - Administration,Fernas Construction India,5.5
Consultant I,FICO,9.3
Engineer II,FICO,10.9
Scientist I,FICO,8.2
Software Development Engineer,FICO,10.1
Software Engineer,FICO,6.3
Technical Lead,FICO,15.8
User Experience Engineer,FICO,8.9
Project Manager,Fidelity Investments,20.2
Senior Software Engineer,Fidelity Investments,8.9
Software Engineer,Fidelity Investments,6.3
Executive,Financial Technology India,2
Software Engineer,Financial Technology India,5
Management Trainee,FINO,5.2
Project Lead,Fiserv,11.5
QA Analyst,Fiserv,8.9
Senior Technical Architect,Fiserv,15.6
Software Engineer,Fiserv,5.6
Systems Analyst,Fiserv,9.3
Technical Analyst,Fiserv,7.9
Credit Analyst,Fitch Ratings,16.3
Business Analyst,FirstSource Solutions,25.2
Software Engineer,Fiorano Software,6.3
Team Lead,First indian corporation,15.9
Software Engineer,Firetide Networks,11.6
Technical Architect,FIS,17.8
Principal Software Engineer,First American,9.9
Business Development Manager,Flipkart.com,9.5
Catalogue Specialist (Contract),Flipkart.com,1.2
Director of Engineering,Flipkart.com,54
Intern,Flipkart.com,3
Inventory & Planning Executive,Flipkart.com,2.8
Management Trainee,Flipkart.com,6.8
Senior Business Development Manager,Flipkart.com,18.9
Software Development Engineer,Flipkart.com,12.6
Software Development Engineer II,Flipkart.com,16.6
Software Development Engineer III,Flipkart.com,24.6
Software Engineer,Flipkart.com,13.2
VP of Engineering,Flipkart.com,75
Vice President,Flipkart.com,26.3
Associate Design Engineer II,Fluor,5.7
ASSOCIATE DESIGN ENGIBEER GRADE -II,FLUOR DANIEL INDIA PVT LIMITED,7
Associate Engineer,FMC Technologies,5.5
Engineer,FMC Technologies,5.5
Engineer1,FMC Technologies,5.5
Graduate Engineer Trainee,FMC Technologies,5.5
Application Developer,Infosys,3.4
Architect,Infosys,20
Associate,Infosys,8.4
Associate,Infosys,8.4
Associate,Infosys,8.4
Business Analyst,Infosys,6.3
Business Analyst,Infosys,6.3
Business Development Executive,Infosys,5.5
Business Manager,Infosys,5.2
Business Manager,Infosys,5.2
Lead Consultant,Infosys,18.2
Group Project Manager,Infosys,32.7
Lead Product Manager,Infosys,38.9
Lead Consultant,Infosys,18.2
Principal Consultant,Infosys,21.6
Principal UI Designer,Infosys,14.7
Process Executive,Infosys,4.3
Programmer Analyst,Infosys,7.3
Program Manager,Infosys,19.8
Project Lead,Infosys,8.6
Programmer Analyst,Infosys,7.3
SAP Lead Consultant,Infosys,17
Research Analyst,Infosys,8.6
Research Analyst,Infosys,8.6
Research Analyst,Infosys,8.6
Senior Associate Consultant,Infosys,9.6
Senior Associate Consultant,Infosys,9.6
Senior Process Associate,Infosys,2.9
Senior Process Associate,Infosys,2.9
Senior Systems Engineer,Infosys,5
Senior Software Engineer,Infosys,4.9
Senior Systems Engineer,Infosys,5
Senior Technical Architect,Infosys,13.4
Senior Technical Architect,Infosys,13.4
Senior Web Developer,Infosys,3.8
Software Analyst,Infosys,4.4
Software Engineer,Infosys,4.3
Software Developer,Infosys,3.7
Systems Engineer Trainee,Infosys,3.8
Systems Engineer Trainee,Infosys,3.8
Systems Engineer,Infosys,4.4
Technical Analyst,Infosys,6.6
Technical Architect,Infosys,15.2
Technical Lead,Infosys,9.6
Technical Lead,Infosys,9.6
Technical Lead,Infosys,9.6
Technology Analyst,Infosys,6
Technology Architect,Infosys,14.5
Test Analyst,Infosys,6.8
Test Engineer,Infosys,4.1
Software Engineer,Ford,5.2
Manager Procurement,Fortis,10.3
Team Lead,Foresight,13.7
Analyst,Fractal Analytics,5.7
Analytics Lead,Fractal Analytics,10.6
Manager,Fractal Analytics,8.6
Project Manager,Fractal Analytics,19.4
Senior Analyst,Fractal Analytics,9.5
Design Engineer II,Freescale Semiconductor,13.1
Senior Design Engineer,Freescale Semiconductor,11.9
Senior Design Verification Engineer,Freescale Semiconductor,10.2
Senior Hardware Design Engineer,Freescale Semiconductor,11.9
Senior Software Engineer,Freescale Semiconductor,19.6
Software Engineer,Freescale Semiconductor,8.6
Industry Analyst,Frost & Sullivan,9.8
Research Analyst,Frost & Sullivan,3.8
Senior Research Analyst,Frost & Sullivan,6.8
Systems Administrator,Franklin,5
Senior Consultant,Fujitsu Consulting,12
Analyst,Futures First Info Services,8.6
Derivatives Trader,Futures First Info Services,10.4
Retail Store Manager,Future Value Retail,8.5
Regional operations manager,Future Generali,14.2
Trainee Engineer,Future Generali,2.5
Manager Channel Development,Future Generali India Life Insurance,8.1
Managing Director,Fyrsta Innovations (India) Private Limited,5.3
Senior Officer (Contracts & Procurement),GAIL,8.9
Software Engineer,GalaxE.Solutions,7.2
Graduate Engineer Trainee,Gammon India,3.4
Software Engineer,Gaboli,3.5
Project Lead,Galaxy Intelligentia,15.9
IT Manager,Garg Inox,3.6
Senior Engineer,GDA Technologies,6.8
Analyst,GE Capital,3.3
Assistant Vice President,GE Capital,23
IT Manager,GE Capital,40.1
WFM analyst,GE Capital,1.9
Architect,GE Global Research,28.4
Engineer,GE Global Research,6.2
Senior Software Engineer,GE Global Research,26.4
Design Engineer,GE Healthcare,6
Engineer,GE Healthcare,10.6
Lead Service Integrator,GE Healthcare,13.1
Lead Systems Integrator,GE Healthcare,11.9
Senior Software Engineer,GE Healthcare,9.6
Systems Analyst,GE Healthcare,11.5
Lead Engineer,General Motors,13.2
Researcher,General Motors,9.6
AVP product delivery,Genpact,33.9
Assistant Manager,Genpact,6.3
Assistant Vice President,Genpact,16.2
Associate Manager,Genpact,6.8
Business Analyst,Genpact,7.3
Business Manager,Genpact,9.5
Consultant,Genpact,7.2
Lead Associate Consultant,Genpact,6.9
Lead Consultant,Genpact,10.5
Management Trainee,Genpact,4.3
Manager,Genpact,9.4
Senior Associate,Genpact,3.8
Senior Consultant,Genpact,9
Senior Engineer,Genpact,4.4
Senior Manager,Genpact,14.4
Senior Manager - Operations,Genpact,18.9
Senior Process Associate,Genpact,3.6
Senior Project Manager,Genpact,20.2
Senior Technical Support Analyst,Genpact,2.3
Six Sigma Black Belt,Genpact,14.4
Trainer,Genpact,1.4
Trainee,Geodesic,5.9
Design Engineer,Geometric,5.2
Project Manager,Geometric,17.2
Senior Software Engineer,Geometric,7.5
Research Associate,Gerson Lehrman Group,3.7
Diamond Grader,Gemological Institute Of America,1.3
Trainee Support Staff,Gemological Institute Of America,1.3
Advisory Manager,GE Oil and Gas,26.2
Business Development Manager,Gentrade,4.7
Analyst,GEP,4.2
Software Engineer,Girmiti Software,3.8
Trainee Diamond Grader,Gia,1.2
DGM IT,GKW Ltd,9.6
Analyst,Global Analytics,6.8
Business Analyst,Global Analytics,10.9
Senior Research Analyst,Global Analytics,12.4
Team Lead,Global Analytics,8.2
Senior Software Engineer,Global Edge Software,5.6
Analyst,GlobalData,6.3
Associate Analyst,GlobalData,4.3
Project Manager,GlobalData,14.5
Assistant Systems Engineer,GlobalLogic,2.5
Associate Consultant,GlobalLogic,9.6
Associate Engineer,GlobalLogic,9.1
Module Lead,GlobalLogic,9
Project Manager,GlobalLogic,16.6
Senior Lead,GlobalLogic,11
Senior Project Manager,GlobalLogic,20.8
Senior Software Engineer,GlobalLogic,7.7
Software Engineer,GlobalLogic,4.2
Technical Lead,GlobalLogic,13.4
Product Manager,GlobalScholar,15.2
Software Development Engineer,GlobalScholar,7.4
Associate,Globeop Financial Services,4.2
Senior Associate,Globeop Financial Services,6.5
Senior Manager,Glenmark Pharmaceuticals,18.1
Senior Executive Business Development,Global innovsource,2.9
Key Account Manager,GlaxoSmithKline,13.7
Associate Manager,GMR Infrastructure,10.7
Assistant Manager - Sales and Marketing,Godrej,5.3
Senior Manager,Godrej,22.1
Business Analyst,Goldman Sachs,23.4
Business Analyst Developer,Goldman Sachs,11
Business Operations Associate,Goldman Sachs,11
Developer Analyst,Goldman Sachs,11.6
Junior Software Engineer,Goldman Sachs,2.8
Manager,Goldman Sachs,15.3
Operations Analyst,Goldman Sachs,4.4
Programmer Analyst,Goldman Sachs,10.1
Senior Analyst Developer,Goldman Sachs,16.2
Senior Software Engineer,Goldman Sachs,17.9
Senior Technology Analyst,Goldman Sachs,13.8
Software Engineer,Goldman Sachs,7.8
Technology Analyst,Goldman Sachs,10.6
Vice President,Goldman Sachs,31
Vice President - Technology,Goldman Sachs,23.3
Engineer,Goodrich Corporation,5.9
Senior Program Manager,Goodrich Corporation,23.4
Account Executive,Google,7.4
Analyst,Google,3.3
Associate Prouduct Quality Operations,Google,4.2
Lead Software Development Engineer,Google,35.5
Manager Business Excellence,Google,15.9
Manager Operations,Google,31.9
Product Manager,Google,29.4
Programming Senior Subject Matter Expert,Google,32.6
Recruiter,Google,5
Senior Software Engineer,Google,22.1
Software Engineer,Google,15.8
Software Engineering Manager,Google,27
Cabin Crew (Female) Air Hostess,Go Air,6.5
Cabin Crew (Male) Steward,Go Air,3.6
Group A Officer,Government of India,6.7
Analyst,Grail Research,7
Associate,Grail Research,7.1
Market Research Analyst,Grail Research,6.5
Research Associate,Grail Research,6.1
Research Analyst,GreyB,4.6
Proofer,Greenpoint Global,3.1
Senior Research Analyst,Gravitas,11
Senior Software Engineer,GS Lab,7.4
Software Engineer,GS Lab,7.3
Cse,Hinduja Global Solutions,0.8
Senior Quality Engineer,GXS,7.9
Senior Software Engineer,GXS,9.4
Associate Software Engineer,Harman International,6.3
Software Engineer,Harman International,8.2
Team Lead,Harman International,19.3
Commissioning Editor,HarperCollins,9.5
Assistant Account Manager,Handygo Technologies,3.7
Analyst,HCL Comnet,5.5
Consultant,HCL Comnet,15.3
PMO,HCL Comnet,4.5
Senior Analyst,HCL Comnet,4
Senior DBA,HCL Comnet,8.8
Senior Specialist Systems,HCL Comnet,7.8
Specialist,HCL Comnet,4.3
Business Development Executive,HCL Infosystems,3.6
Business Development Manager,HCL Infosystems,10.7
Business Manager,HCL Infosystems,13.1
Practice Head,HCL Infosystems,15.1
Product Manager,HCL Infosystems,13.7
Analyst,HCL Technologies,4.5
Architect,HCL Technologies,18.5
Assistant General Manager,HCL Technologies,26.9
Associate Consultant,HCL Technologies,3.5
Associate Manager,HCL Technologies,11.2
Associate Project Manager,HCL Technologies,12.8
Business Analyst,HCL Technologies,6.6
Business Development Manager,HCL Technologies,14.9
Consultant,HCL Technologies,8.4
Deputy General Manager,HCL Technologies,29.1
Deputy Manager,HCL Technologies,9.1
Engagement Manager,HCL Technologies,15.5
General Manager,HCL Technologies,21.1
Group Manager,HCL Technologies,24
Group Project Manager,HCL Technologies,21
Interaction Design,HCL Technologies,8.3
Lead Engineer,HCL Technologies,6.5
Member of Technical Staff,HCL Technologies,5.1
Patient Support Counselor,HCL Technologies,1.7
Product Manager,HCL Technologies,17.1
Project Lead,HCL Technologies,10.3
Project Manager,HCL Technologies,14.3
SEO & Internet Marketing,HCL Technologies,24.7
Senior Analyst,HCL Technologies,4
Senior Consultant,HCL Technologies,9.8
Senior Management Trainee,HCL Technologies,9.7
Senior Project Manager,HCL Technologies,16.3
Senior Software Engineer,HCL Technologies,7
Senior Technical Lead,HCL Technologies,11.7
Senior Test Engineer,HCL Technologies,5.9
Software Engineer,HCL Technologies,4.2
Technical Lead,HCL Technologies,9.7
Test Engineer,HCL Technologies,4.5
UX Designer,HCL Technologies,13.5
Consultant,Hcentive,6.3
Senior Consultant,HCL Axon,10.8
Assistant Business Analyst,HDFC Bank,3.9
Assistant Manager,HDFC Bank,4.3
Assistant Manager - Accounts,HDFC Bank,2.9
Deputy Manager,HDFC Bank,5.4
Deputy Vice President,HDFC Bank,26.3
Lead analyst,HDFC Bank,12.4
Manager,HDFC Bank,8.5
Manager Operations,HDFC Bank,5
Relationship Manager,HDFC Bank,7.5
Senior Business Analyst,HDFC Bank,6.8
Senior Manager,HDFC Bank,16.9
Deputy Manager,HDFC Limited,7.4
Relationship Manager,HDFC Securities,2.5
Associate,Headstrong,4.3
Consultant,Headstrong,8.1
Lead Consultant,Headstrong,10.2
Principal Consultant,Headstrong,15
Product Manager,Headstrong,14.8
Project Manager - IT,Headstrong,15.1
SQA Manager,Headstrong,10.4
Senior Associate,Headstrong,6.5
Senior Consultant,Headstrong,12
Senior Executive - Human Resources,Headstrong,6.3
Senior Software Engineer,Headstrong,6.3
Software Test Engineer,Headstrong,2.6
Tech Lead,Headstrong,10
Test Lead,Headstrong,11.3
Research Analyst,Heidrick & Struggles,4.9
Benefits Analyst,Hewitt Associates,3.9
Developer Analyst,Hewitt Associates,10.3
Software Engineer,Hewitt Associates,5.5
Analytics Consultant,Hewlett-Packard,11.5
Area Sales Manager,Hewlett-Packard,14.7
Associate Consultant,Hewlett-Packard,12.3
Associate Project Manager,Hewlett-Packard,14.7
Business Analyst,Hewlett-Packard,8.6
Business Consultant,Hewlett-Packard,10
Business Operations Analyst,Hewlett-Packard,7.3
Business Planning Manager,Hewlett-Packard,11
Consultant,Hewlett-Packard,10
Financial Analyst,Hewlett-Packard,11.9
Lead Software Engineer,Hewlett-Packard,10.6
Manager,Hewlett-Packard,23.3
Market Research Analyst,Hewlett-Packard,9
Marketing Program Manager,Hewlett-Packard,13.4
Network Admin,Hewlett-Packard,1.9
Network Support Engineer,Hewlett-Packard,6.8
Product Manager,Hewlett-Packard,17.8
Product Marketing Manager,Hewlett-Packard,12.8
Program Manager,Hewlett-Packard,16.4
Project Lead,Hewlett-Packard,10.1
Project Manager,Hewlett-Packard,15.4
Project Manager - IT,Hewlett-Packard,18.4
Senior Program Manager,Hewlett-Packard,28.9
Senior Project Manager,Hewlett-Packard,30.5
Senior Software Support Engineer,Hewlett-Packard,6.3
Senior Software Test Engineer,Hewlett-Packard,15.3
Senior Systems Software Engineer,Hewlett-Packard,9.1
Software Engineer,Hewlett-Packard,6.7
Software Technical Lead,Hewlett-Packard,14.1
Solutions Architect,Hewlett-Packard,13.7
Systems Software Engineer,Hewlett-Packard,7.2
Systems Software Engineer II,Hewlett-Packard,9.1
Team Lead,Hewlett-Packard,5.6
Technical Consultant,Hewlett-Packard,6.8
Technical Support Engineer,Hewlett-Packard,4.9
Technology Consultant I,Hewlett-Packard,5.6
Technology Consultant II,Hewlett-Packard,6.7
Technology Consultant III,Hewlett-Packard,7.9
Unix Admin,Hewlett-Packard,6.1
Business Analyst,Hexaware Technologies,8.6
Project Manager,Hexaware Technologies,13.4
Senior Software Engineer,Hexaware Technologies,6.3
Software Engineer,Hexaware Technologies,4.3
Systems Analyst,Hexaware Technologies,9.5
Technical Architect,Hexaware Technologies,8.8
Graduate Engineer Trainee,Hero Moto Corp,6.2
Manager,Hero Moto Corp,16.5
Post Graduate Engineer Trainee,Hero Moto Corp,8.5
Associate Consultant,Headfitted Solutions,14.8
Consultant,Headfitted Solutions,21.1
Senior Software Engineer,Headfitted Solutions,10.6
Software Engineer,Headfitted Solutions,6.3
Human Resources Executive,Herald Solutions,2.5
Associate,Hero BPO,1.6
General Manager,Helios & Matheson,17.4
Human Resources Executive,Hercules Automobiles,1.5
Deputy Manager,HFCL,7.8
Technical Application Engineer,Hilti India,7.1
Technical Representative,Hilti India,4.2
Deputy Manager,Hindustan Aeronautics Limited,7.9
Design Engineer,Hindustan Aeronautics Limited,5.9
Manager,Hindustan Aeronautics Limited,7.9
Officer Trainee,Hindustan Petroleum,9.4
Assistant General Manager,Hindustan Unilever,19.1
General Manager,Hindustan Unilever,31.5
Manager,Hindustan Unilever,19.7
Senior Research Associate,Hindustan Unilever,9.4
Consultant,Hitachi Consulting,5.6
Senior Consultant,Hitachi Consulting,13.5
Senior Officer Sales,Hindustan composites ltd,2.8
Deputy Manager,Hitech Systems & Services Limited,4.2
Associate Manager,Hindustan Zinc Ltd,7.7
Lead Software Development Engineer,Honeywell ACS,8.6
Senior Software Engineer,Honeywell ACS,8.8
Software Developer,Honeywell ACS,5
Software Engineer,Honeywell ACS,9.3
Technology Strategy Lead,Honeywell Aerospace,9
Senior Engineer,Honeywell International,6.8
Engineer,Honeywell Technology Solutions,4.4
Senior Engineer,Honeywell Technology Solutions,7.4
Senior Software Engineer,Honeywell Technology Solutions,8.4
Software Engineer,Honeywell Technology Solutions,5.8
Systems Engineer,Honeywell Technology Solutions,3.8
Team Lead,Honeywell Technology Solutions,11.2
Tech Lead,Honeywell Technology Solutions,11.4
Technical Lead,Honeywell Technology Solutions,10
Technology Specialist,Honeywell Technology Solutions,19.4
Design Lead,Honeywell,6.8
Safety Systems Engineer,Honeywell,5.8
Graduate Engineer Trainee,Honda Motorcycle & Scooter India,5.3
Executive,Honda Siel Cars India,4.2
Graduate Engineer Trainee,Honda Siel Cars India,3.9
Analyst,HSBC - HDPI,7.4
Assistant Manager,HSBC - HDPI,10.2
Assistant Vice President,HSBC - HDPI,17.4
Associate,HSBC - HDPI,5.2
Business Analyst,HSBC - HDPI,8.7
Finance Operation Executive,HSBC - HDPI,5.5
Associate Project Manager,HSBC GLT,16.1
Associate Software Engineer,HSBC GLT,3.5
Business Analyst,HSBC GLT,9.7
Consultant Specialist,HSBC GLT,9.6
Project Manager,HSBC GLT,21.5
Senior Business Analyst,HSBC GLT,14.1
Senior Software Engineer,HSBC GLT,7.3
Senior Systems Administrator,HSBC GLT,10.3
Software Engineer,HSBC GLT,5.8
Team Lead,HSBC GLT,10.6
Assistant Manager,HSBC Holdings,5.7
Assistant Vice President,HSBC Holdings,15.1
Project Manager,HSBC Holdings,23.8
Assistant Manager,HSBC,5.6
Consultant,HSBC,15.8
Java Architect,Huawei Technologies,24.7
Project Manager,Huawei Technologies,20.5
Senior Project Lead,Huawei Technologies,22.1
Senior Software Engineer,Huawei Technologies,8.9
Senior Technical Lead,Huawei Technologies,17.6
Software Engineer,Huawei Technologies,6.3
Team Lead,Huawei Technologies,14.1
Technical Project Lead,Huawei Technologies,13.5
Principal Engineer,Hughes Systique,11.2
Senior Software Engineer,Hughes Systique,7.4
Software Engineer,Hughes Systique,7.5
Assistant Manager,Hungama,4.3
Software Developer,Hydus,3.8
Financial Analyst,Hydro Power Developer,4.7
Advisory Project Manager,IBM,20.9
Advisory Project Manager,IBM,20.9
Advisory Software Engineer,IBM,19.1
Advisory Systems Engineer,IBM,12.8
Associate Managing Consultant,IBM,18.7
Applications Programmer,IBM,4.6
Associate Software Developer,IBM,50.4
Architect,IBM,22.5
Consultant,IBM,10.3
Business Analyst,IBM,8
Associate Software Developer,IBM,50.4
IT Specialist,IBM,9.6
Consultant,IBM,10.3
Business Analyst,IBM,8
Managing Consultant - Strategy,IBM,23.8
Managing Consultant - Strategy,IBM,23.8
Recruitment Operations Leader,IBM,38.6
SAP Consultant,IBM,8.6
SAP Senior Consultant,IBM,8.5
Project Manager - IT,IBM,9.9
Program Manager,IBM,21.1
SAP Consultant,IBM,8.6
SAP Consultant,IBM,8.6
SAP Senior Consultant,IBM,8.5
Senior Operations Professional,IBM,8.7
Senior Business Consultant,IBM,18.1
Senior Business Consultant,IBM,18.1
Senior Consultant (Consulting),IBM,9.8
Senior Manager - Quality,IBM,20.5
Senior Managing Consultant,IBM,31
Senior Managing Consultant,IBM,31
Senior Systems Engineer,IBM,7.6
Senior Operations Professional,IBM,8.7
Senior Systems Analyst,IBM,12.3
Senior Systems Engineer,IBM,7.6
Senior Systems Analyst,IBM,12.3
Staff Hardware Engineer,IBM,14.9
Senior operations manager,IBM,8.5
Senior Systems Engineer,IBM,7.6
Strategy Consultant,IBM,11.3
Software Engineer,IBM,6.8
Systems Analyst,IBM,9.9
Team Lead,IBM,6.5
Systems Administrator,IBM,5.6
Tech Services Manager,IBM,17.4
Technical Consultant,IBM,12.6
